Year,Term,YearTerm,Subject,Number,Course Title,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Students,Primary Instructor
2011,Spring,2011-sp,ARCH,374,Arch Design and the City,LAB,1,5,4,6,5,5,4,0,1,0,2,0,1,0,34,"Greenlee, Camden L"
2011,Spring,2011-sp,ARCH,374,Arch Design and the City,LAB,0,7,6,9,5,2,1,1,0,0,0,0,1,1,32,"Lewis, Carl G"
2011,Spring,2011-sp,ARCH,374,Arch Design and the City,LAB,3,7,8,17,12,1,0,0,0,0,0,0,0,0,48,"Lapunzina, Alejandro"
2011,Spring,2011-sp,ARCH,409,Special Topics in French Arch,LCD,0,4,17,22,4,1,0,0,0,0,0,0,0,0,48,"Meehan, Patricia"
2011,Spring,2011-sp,ARCH,410,Ancient Egyptian & Greek Arch,LEC,2,19,12,10,13,4,4,5,0,0,3,0,0,0,72,"Senseney, John R"
2011,Spring,2011-sp,ARCH,411,Ancient Roman Architecture,LEC,3,9,1,3,7,2,1,1,0,0,1,0,0,1,28,"Senseney, John R"
2011,Spring,2011-sp,ARCH,416,Modern American Architecture,LEC,16,22,12,7,21,5,4,4,1,1,0,0,3,2,96,"Irish, Sharon L"
2011,Spring,2011-sp,ARCH,451,Theory & Design Steel & Timber,LEC,11,17,10,4,10,4,0,5,2,0,0,0,0,0,63,"Aminmansour, Abbas"
2011,Spring,2011-sp,ARCH,452,Theory of Reinforced Concrete,LEC,6,7,15,7,9,7,5,6,1,0,2,0,0,0,65,"Ali, Mir M"
2011,Spring,2011-sp,ARCH,476,Arch Design & Exploration,LAB,0,8,15,7,2,3,0,0,0,0,0,0,0,0,35,"Hicks, Stewart R"
2011,Spring,2011-sp,ARCH,502,Structural Planning,LEC,0,5,7,6,13,11,9,3,2,0,2,0,0,0,58,"Mitalski, Marc A"
